route_id,direction_id,route_short_name,route_long_name,P1_avg_n_trips,P2_avg_n_trips,P3_avg_n_trips,P1_share_days_with_service,P2_share_days_with_service,P3_share_days_with_service,diff_P2_vs_P1,diff_P3_vs_P2,diff_P3_vs_P1
36,0,36,Broadway,18,18,18,1,1,1,0,0,0
36,1,36,Broadway,13,13,13,1,1,1,0,0,0
39,0,39,Pershing,8,8,8,1,1,1,0,0,0
39,1,39,Pershing,8,8,8,1,1,1,0,0,0
4,0,4,Cottage Grove,21,21,21,1,1,1,0,0,0
4,1,4,Cottage Grove,22,22,22,1,1,1,0,0,0
43,0,43,43rd,8,8,8,1,1,1,0,0,0
43,1,43,43rd,7,7,7,1,1,1,0,0,0
44,0,44,Wallace/Racine,10,10,10,1,1,1,0,0,0
47,0,47,47th,21,21,21,1,1,1,0,0,0
47,1,47,47th,20,20,20,1,1,1,0,0,0
48,0,48,South Damen,9,9,9,1,1,1,0,0,0
48,1,48,South Damen,10,10,10,1,1,1,0,0,0
49,0,49,Western,22,22,22,1,1,1,0,0,0
49,1,49,Western,22,22,22,1,1,1,0,0,0
49B,0,49B,North Western,14,14,14,1,1,1,0,0,0
49B,1,49B,North Western,14,14,14,1,1,1,0,0,0
50,0,50,Damen,15,15,15,1,1,1,0,0,0
51,0,51,51st,7,7,7,1,1,1,0,0,0
51,1,51,51st,8,8,8,1,1,1,0,0,0
52,1,52,Kedzie,16,16,16,1,1,1,0,0,0
52A,0,52A,South Kedzie,12,12,12,1,1,1,0,0,0
52A,1,52A,South Kedzie,10,10,10,1,1,1,0,0,0
54,0,54,Cicero,17,17,17,1,1,1,0,0,0
54,1,54,Cicero,16,16,16,1,1,1,0,0,0
54A,1,54A,North Cicero/Skokie Blvd.,7,7,7,1,1,1,0,0,0
54B,0,54B,South Cicero,8,8,8,1,1,1,0,0,0
54B,1,54B,South Cicero,9,9,9,1,1,1,0,0,0
55,0,55,Garfield,21,21,21,1,1,1,0,0,0
55,1,55,Garfield,20,20,20,1,1,1,0,0,0
55A,0,55A,55th/Austin,4,4,4,1,1,1,0,0,0
55A,1,55A,55th/Austin,5,5,5,1,1,1,0,0,0
55N,0,55N,55th/Narragansett,6,6,6,1,1,1,0,0,0
55N,1,55N,55th/Narragansett,6,6,6,1,1,1,0,0,0
56,0,56,Milwaukee,24,24,24,1,1,1,0,0,0
