period_id,route_id,direction_id,avg_n_trips,median_n_trips,days_with_service,share_days_with_service,route_short_name,route_long_name,route_type
P2,94,1,20,20,9,1,94,California,3
P2,95,0,29,29,9,1,95,95th,3
P2,95,1,29,29,9,1,95,95th,3
P2,96,0,7,7,9,1,96,Lunt,3
P2,96,1,6,6,9,1,96,Lunt,3
P2,97,0,11,11,9,1,97,Skokie,3
P2,97,1,11,11,9,1,97,Skokie,3
P2,Blue,0,41,41,9,1,NA,Blue Line,1
P2,Blue,1,41,41,9,1,NA,Blue Line,1
P2,Brn,0,34,34,9,1,NA,Brown Line,1
P2,G,0,24,24,9,1,NA,Green Line,1
P2,G,1,24,24,9,1,NA,Green Line,1
P2,J14,0,24,24,9,1,J14,Jeffery Jump,3
P2,J14,1,24,24,9,1,J14,Jeffery Jump,3
P2,Org,1,28,28,9,1,NA,Orange Line,1
P2,P,1,39,39,9,1,NA,Purple Line,1
P2,Pink,1,24,24,9,1,NA,Pink Line,1
P2,Red,0,40,40,9,1,NA,Red Line,1
P2,Red,1,40,40,9,1,NA,Red Line,1
P2,X4,0,1,1,9,1,X4,Cottage Grove Express,3
P2,X4,1,2,2,9,1,X4,Cottage Grove Express,3
P2,X49,0,0,0,0,0,X49,Western Express,3
P2,X49,1,0,0,0,0,X49,Western Express,3
P2,X9,0,6,6,9,1,X9,Ashland Express,3
P2,X9,1,4,4,9,1,X9,Ashland Express,3
P2,Y,1,24,24,9,1,NA,Yellow Line,1
P3,1,0,0,0,0,0,1,Bronzeville/Union Station,3
P3,1,1,0,0,0,0,1,Bronzeville/Union Station,3
P3,10,0,0,0,0,0,10,Museum of Science & Industry,3
P3,10,1,0,0,0,0,10,Museum of Science & Industry,3
P3,100,0,0,0,0,0,100,Jeffery Manor Express,3
P3,100,1,0,0,0,0,100,Jeffery Manor Express,3
P3,103,0,12,12,16,1,103,West 103rd,3
P3,103,1,11,11,16,1,103,West 103rd,3
P3,106,0,14,14,16,1,106,East 103rd,3
P3,106,1,12,12,16,1,106,East 103rd,3
P3,108,0,0,0,0,0,108,Halsted/95th,3
P3,108,1,0,0,0,0,108,Halsted/95th,3
P3,11,0,10,10,16,1,11,Lincoln,3
P3,11,1,10,10,16,1,11,Lincoln,3
P3,111,0,14,14,16,1,111,111th/King Drive,3
P3,111,1,14,14,16,1,111,111th/King Drive,3
P3,111A,0,10,10,16,1,111A,Pullman Shuttle,3
P3,111A,1,10,10,16,1,111A,Pullman Shuttle,3
