period_id,route_id,days_present,avg_headway_min,median_headway_min,n_days_in_period,share_days_present,route_short_name,route_long_name,route_type
P2,56,9,16.366666666666667,16.366666666666667,9,1,56,Milwaukee,3
P2,57,9,18,18,9,1,57,Laramie,3
P2,59,9,20,20,9,1,59,59th/61st,3
P2,6,9,12,12,9,1,6,Jackson Park Express,3
P2,60,9,10,10,9,1,60,Blue Island/26th,3
P2,62,9,15,15,9,1,62,Archer,3
P2,62H,9,30,30,9,1,62H,Archer/Harlem,3
P2,63,9,7.833333333333333,7.833333333333333,9,1,63,63rd,3
P2,63W,9,25.716666666666665,25.716666666666665,9,1,63W,West 63rd,3
P2,65,9,20,20,9,1,65,Grand,3
P2,66,9,6.916666666666667,6.916666666666667,9,1,66,Chicago,3
P2,67,9,10,10,9,1,67,67th/69th/71st,3
P2,68,9,25.716666666666665,25.716666666666665,9,1,68,Northwest Highway,3
P2,7,9,15,15,9,1,7,Harrison,3
P2,70,9,12,12,9,1,70,Division,3
P2,71,9,12,12,9,1,71,71st/South Shore,3
P2,72,9,10.583333333333334,10.583333333333334,9,1,72,North,3
P2,73,9,18,18,9,1,73,Armitage,3
P2,74,9,12,12,9,1,74,Fullerton,3
P2,75,9,12,12,9,1,75,74th/75th,3
P2,76,9,15,15,9,1,76,Diversey,3
P2,77,9,9,9,9,1,77,Belmont,3
P2,78,9,16.366666666666667,16.366666666666667,9,1,78,Montrose,3
P2,79,9,6.666666666666667,6.666666666666667,9,1,79,79th,3
P2,8,9,10,10,9,1,8,Halsted,3
P2,80,9,12,12,9,1,80,Irving Park,3
P2,81,9,10,10,9,1,81,Lawrence,3
P2,81W,9,25.716666666666665,25.716666666666665,9,1,81W,West Lawrence,3
P2,82,9,9,9,9,1,82,Kimball/Homan,3
P2,84,9,15,15,9,1,84,Peterson,3
P2,85,9,15,15,9,1,85,Central,3
P2,85A,9,20,20,9,1,85A,North Central,3
P2,86,9,20,20,9,1,86,Narragansett/Ridgeland,3
P2,87,9,11.25,11.25,9,1,87,87th,3
P2,88,9,25.716666666666665,25.716666666666665,9,1,88,Higgins,3
P2,8A,9,16.366666666666667,16.366666666666667,9,1,8A,South Halsted,3
P2,9,9,9,9,9,1,9,Ashland,3
P2,90,9,20,20,9,1,90,Harlem,3
P2,91,9,16.366666666666667,16.366666666666667,9,1,91,Austin,3
P2,92,9,15,15,9,1,92,Foster,3
