route_id,direction_id,route_short_name,route_long_name,P1_avg_n_trips,P2_avg_n_trips,P3_avg_n_trips,P1_share_days_with_service,P2_share_days_with_service,P3_share_days_with_service,diff_P2_vs_P1,diff_P3_vs_P2,diff_P3_vs_P1
147,0,147,Outer DuSable Lake Shore Express,22,22,22,1,1,1,0,0,0
147,1,147,Outer DuSable Lake Shore Express,16,16,16,1,1,1,0,0,0
148,0,148,Clarendon/Michigan Express,0,0,0,0,0,0,0,0,0
15,0,15,Jeffery Local,16,16,16,1,1,1,0,0,0
15,1,15,Jeffery Local,15,15,15,1,1,1,0,0,0
151,0,151,Sheridan,23,23,23,1,1,1,0,0,0
151,1,151,Sheridan,22,22,22,1,1,1,0,0,0
152,0,152,Addison,14,14,14,1,1,1,0,0,0
155,0,155,Devon,16,16,16,1,1,1,0,0,0
155,1,155,Devon,17,17,17,1,1,1,0,0,0
156,0,156,LaSalle,11,11,11,1,1,1,0,0,0
156,1,156,LaSalle,11,11,11,1,1,1,0,0,0
157,0,157,Streeterville/Taylor,15,15,15,1,1,1,0,0,0
157,1,157,Streeterville/Taylor,15,15,15,1,1,1,0,0,0
165,0,165,West 65th,0,0,0,0,0,0,0,0,0
169,0,169,69th/UPS Express,0,0,0,0,0,0,0,0,0
18,0,18,16th/18th,13,13,13,1,1,1,0,0,0
18,1,18,16th/18th,12,12,12,1,1,1,0,0,0
192,0,192,University of Chicago Hospitals Express,0,0,0,0,0,0,0,0,0
2,0,2,Hyde Park Express,0,0,0,0,0,0,0,0,0
2,1,2,Hyde Park Express,0,0,0,0,0,0,0,0,0
20,0,20,Madison,29,29,29,1,1,1,0,0,0
20,1,20,Madison,28,28,28,1,1,1,0,0,0
201,0,201,Central/Ridge,7,7,7,1,1,1,0,0,0
201,1,201,Central/Ridge,7,7,7,1,1,1,0,0,0
206,0,206,Evanston Circulator,0,0,0,0,0,0,0,0,0
206,1,206,Evanston Circulator,0,0,0,0,0,0,0,0,0
21,0,21,Cermak,18,18,18,1,1,1,0,0,0
22,0,22,Clark,25,25,25,1,1,1,0,0,0
22,1,22,Clark,23,23,23,1,1,1,0,0,0
24,1,24,Wentworth,11,11,11,1,1,1,0,0,0
26,0,26,South Shore Express,3,3,3,1,1,1,0,0,0
26,1,26,South Shore Express,16,16,16,1,1,1,0,0,0
28,0,28,Stony Island,14,14,14,1,1,1,0,0,0
28,1,28,Stony Island,15,15,15,1,1,1,0,0,0
29,0,29,State,20,20,20,1,1,1,0,0,0
29,1,29,State,20,20,20,1,1,1,0,0,0
3,0,3,King Drive,25,25,25,1,1,1,0,0,0
3,1,3,King Drive,23,23,23,1,1,1,0,0,0
30,0,30,South Chicago,12,12,12,1,1,1,0,0,0
30,1,30,South Chicago,11,11,11,1,1,1,0,0,0
31,0,31,31st,7,7,7,1,1,1,0,0,0
31,1,31,31st,7,7,7,1,1,1,0,0,0
34,0,34,South Michigan,21,21,21,1,1,1,0,0,0
34,1,34,South Michigan,21,21,21,1,1,1,0,0,0
35,0,35,31st/35th,12,12,12,1,1,1,0,0,0
35,1,35,31st/35th,12,12,12,1,1,1,0,0,0
36,0,36,Broadway,20,20,20,1,1,1,0,0,0
36,1,36,Broadway,20,20,20,1,1,1,0,0,0
37,0,37,Sedgwick,8,8,8,1,1,1,0,0,0
37,1,37,Sedgwick,8,8,8,1,1,1,0,0,0
39,0,39,Pershing,9,9,9,1,1,1,0,0,0
39,1,39,Pershing,9,9,9,1,1,1,0,0,0
4,0,4,Cottage Grove,28,28,28,1,1,1,0,0,0
4,1,4,Cottage Grove,29,29,29,1,1,1,0,0,0
43,0,43,43rd,11,11,11,1,1,1,0,0,0
43,1,43,43rd,11,11,11,1,1,1,0,0,0
44,0,44,Wallace/Racine,11,11,11,1,1,1,0,0,0
44,1,44,Wallace/Racine,12,12,12,1,1,1,0,0,0
47,0,47,47th,25,25,25,1,1,1,0,0,0
47,1,47,47th,26,26,26,1,1,1,0,0,0
48,0,48,South Damen,1,1,1,1,1,1,0,0,0
48,1,48,South Damen,0,0,0,0,0,0,0,0,0
49,0,49,Western,35,35,35,1,1,1,0,0,0
49,1,49,Western,34,34,34,1,1,1,0,0,0
49B,0,49B,North Western,19,19,19,1,1,1,0,0,0
49B,1,49B,North Western,18,18,18,1,1,1,0,0,0
50,1,50,Damen,17,17,17,1,1,1,0,0,0
51,0,51,51st,11,11,11,1,1,1,0,0,0
51,1,51,51st,11,11,11,1,1,1,0,0,0
52,0,52,Kedzie,18,18,18,1,1,1,0,0,0
52A,0,52A,South Kedzie,12,12,12,1,1,1,0,0,0
52A,1,52A,South Kedzie,12,12,12,1,1,1,0,0,0
54,1,54,Cicero,24,24,24,1,1,1,0,0,0
54A,0,54A,North Cicero/Skokie Blvd.,0,0,0,0,0,0,0,0,0
54A,1,54A,North Cicero/Skokie Blvd.,0,0,0,0,0,0,0,0,0
54B,0,54B,South Cicero,10,10,10,1,1,1,0,0,0
54B,1,54B,South Cicero,10,10,10,1,1,1,0,0,0
55A,0,55A,55th/Austin,0,0,0,0,0,0,0,0,0
55A,1,55A,55th/Austin,0,0,0,0,0,0,0,0,0
55N,0,55N,55th/Narragansett,9,9,9,1,1,1,0,0,0
55N,1,55N,55th/Narragansett,9,9,9,1,1,1,0,0,0
56,0,56,Milwaukee,16,16,16,1,1,1,0,0,0
56,1,56,Milwaukee,15,15,15,1,1,1,0,0,0
57,0,57,Laramie,12,12,12,1,1,1,0,0,0
59,1,59,59th/61st,12,12,12,1,1,1,0,0,0
6,0,6,Jackson Park Express,20,20,20,1,1,1,0,0,0
6,1,6,Jackson Park Express,20,20,20,1,1,1,0,0,0
60,0,60,Blue Island/26th,25,25,25,1,1,1,0,0,0
60,1,60,Blue Island/26th,25,25,25,1,1,1,0,0,0
62,0,62,Archer,17,17,17,1,1,1,0,0,0
62,1,62,Archer,17,17,17,1,1,1,0,0,0
62H,0,62H,Archer/Harlem,7,7,7,1,1,1,0,0,0
62H,1,62H,Archer/Harlem,6,6,6,1,1,1,0,0,0
63W,0,63W,West 63rd,8,8,8,1,1,1,0,0,0
63W,1,63W,West 63rd,8,8,8,1,1,1,0,0,0
65,1,65,Grand,11,11,11,1,1,1,0,0,0
66,0,66,Chicago,36,36,36,1,1,1,0,0,0
66,1,66,Chicago,35,35,35,1,1,1,0,0,0
67,0,67,67th/69th/71st,23,23,23,1,1,1,0,0,0
68,0,68,Northwest Highway,8,8,8,1,1,1,0,0,0
68,1,68,Northwest Highway,8,8,8,1,1,1,0,0,0
7,1,7,Harrison,16,16,16,1,1,1,0,0,0
70,0,70,Division,19,19,19,1,1,1,0,0,0
70,1,70,Division,19,19,19,1,1,1,0,0,0
71,0,71,71st/South Shore,19,19,19,1,1,1,0,0,0
71,1,71,71st/South Shore,19,19,19,1,1,1,0,0,0
73,0,73,Armitage,12,12,12,1,1,1,0,0,0
74,0,74,Fullerton,20,20,20,1,1,1,0,0,0
74,1,74,Fullerton,22,22,22,1,1,1,0,0,0
75,0,75,74th/75th,18,18,18,1,1,1,0,0,0
75,1,75,74th/75th,19,19,19,1,1,1,0,0,0
76,0,76,Diversey,16,16,16,1,1,1,0,0,0
76,1,76,Diversey,18,18,18,1,1,1,0,0,0
78,0,78,Montrose,18,18,18,1,1,1,0,0,0
79,1,79,79th,40,40,40,1,1,1,0,0,0
8,0,8,Halsted,29,29,29,1,1,1,0,0,0
8,1,8,Halsted,28,28,28,1,1,1,0,0,0
80,0,80,Irving Park,20,20,20,1,1,1,0,0,0
81W,0,81W,West Lawrence,9,9,9,1,1,1,0,0,0
81W,1,81W,West Lawrence,8,8,8,1,1,1,0,0,0
82,0,82,Kimball/Homan,27,27,27,1,1,1,0,0,0
84,0,84,Peterson,14,14,14,1,1,1,0,0,0
85,0,85,Central,15,15,15,1,1,1,0,0,0
85,1,85,Central,15,15,15,1,1,1,0,0,0
85A,0,85A,North Central,10,10,10,1,1,1,0,0,0
85A,1,85A,North Central,9,9,9,1,1,1,0,0,0
86,0,86,Narragansett/Ridgeland,11,11,11,1,1,1,0,0,0
86,1,86,Narragansett/Ridgeland,11,11,11,1,1,1,0,0,0
87,1,87,87th,23,23,23,1,1,1,0,0,0
88,0,88,Higgins,8,8,8,1,1,1,0,0,0
88,1,88,Higgins,8,8,8,1,1,1,0,0,0
8A,0,8A,South Halsted,14,14,14,1,1,1,0,0,0
8A,1,8A,South Halsted,13,13,13,1,1,1,0,0,0
9,0,9,Ashland,31,31,31,1,1,1,0,0,0
90,0,90,Harlem,11,11,11,1,1,1,0,0,0
90,1,90,Harlem,11,11,11,1,1,1,0,0,0
91,0,91,Austin,14,14,14,1,1,1,0,0,0
91,1,91,Austin,14,14,14,1,1,1,0,0,0
92,0,92,Foster,15,15,15,1,1,1,0,0,0
92,1,92,Foster,15,15,15,1,1,1,0,0,0
93,0,93,California/Dodge,11,11,11,1,1,1,0,0,0
94,0,94,California,20,20,20,1,1,1,0,0,0
94,1,94,California,20,20,20,1,1,1,0,0,0
96,0,96,Lunt,7,7,7,1,1,1,0,0,0
96,1,96,Lunt,6,6,6,1,1,1,0,0,0
97,0,97,Skokie,11,11,11,1,1,1,0,0,0
97,1,97,Skokie,11,11,11,1,1,1,0,0,0
Blue,0,NA,Blue Line,41,41,41,1,1,1,0,0,0
Blue,1,NA,Blue Line,41,41,41,1,1,1,0,0,0
Brn,0,NA,Brown Line,34,34,34,1,1,1,0,0,0
G,0,NA,Green Line,24,24,24,1,1,1,0,0,0
G,1,NA,Green Line,24,24,24,1,1,1,0,0,0
J14,0,J14,Jeffery Jump,24,24,24,1,1,1,0,0,0
J14,1,J14,Jeffery Jump,24,24,24,1,1,1,0,0,0
Org,1,NA,Orange Line,28,28,28,1,1,1,0,0,0
P,1,NA,Purple Line,39,39,39,1,1,1,0,0,0
Pink,1,NA,Pink Line,24,24,24,1,1,1,0,0,0
Red,0,NA,Red Line,40,40,40,1,1,1,0,0,0
Red,1,NA,Red Line,40,40,40,1,1,1,0,0,0
X4,0,X4,Cottage Grove Express,1,1,1,1,1,1,0,0,0
X4,1,X4,Cottage Grove Express,2,2,2,1,1,1,0,0,0
X49,0,X49,Western Express,0,0,0,0,0,0,0,0,0
X49,1,X49,Western Express,0,0,0,0,0,0,0,0,0
X9,0,X9,Ashland Express,6,6,6,1,1,1,0,0,0
X9,1,X9,Ashland Express,4,4,4,1,1,1,0,0,0
Y,1,NA,Yellow Line,24,24,24,1,1,1,0,0,0
